"","id","message_time","day","hdop","historical","hour","latitude","longitude","minute","month","pressure","second","temperature","volts","year"
"1","eui-70b3d57ed00508ca","2023-04-05T16:39:25.420939645Z","5","10","0","16",46.83328,8.18236,"39","4","96050.7","4","13.2","4.4487","23"
"2","eui-70b3d57ed00508ca","2023-04-05T13:39:03.491813453Z","5","10","0","13",46.83373,8.18232,"39","4","96058.6","0","46","3.5137","23"
"3","eui-70b3d57ed00508ca","2023-04-05T10:38:27.435906544Z","5","30","0","10",46.83369,8.18335,"38","4","96179.3","5","45.6","3.6025","23"
"4","eui-70b3d57ed00508ca","2023-04-05T07:37:43.433681585Z","5","10","0","7",46.83346,8.18236,"37","4","96220.9","8","5.4","4.2025","23"
"5","eui-70b3d57ed00508ca","2023-04-05T04:37:12.290077636Z","5","10","0","4",46.83338,8.1833,"37","4","96153.5","1","4","4.2112","23"
"6","eui-70b3d57ed00508ca","2023-04-05T01:36:13.016375232Z","5","30","0","1",46.8342,8.18409,"36","4","96245.2","2","2.2","4.2212","23"
"7","eui-70b3d57ed00508ca","2023-04-04T22:35:46.847697846Z","4","10","0","22",46.83358,8.18296,"35","4","96316.9","9","4.4","4.2475","23"
"8","eui-70b3d57ed00508ca","2023-04-04T19:34:57.668268222Z","4","20","0","19",46.8323,8.18262,"34","4","96264.9","11","8.6","4.2762","23"
"9","eui-70b3d57ed00508ca","2023-04-04T16:33:50.635476361Z","4","10","0","16",46.83346,8.18276,"33","4","96244.1","9","13.4","4.2787","23"
"10","eui-70b3d57ed00508ca","2023-04-04T13:33:20.681555373Z","4","40","0","13",46.83334,8.18131,"33","4","96260.1","3","24","4.8687","23"
