"","id","message_time","day","hdop","hdop2","historical","hour","latitude","longitude","minute","month","second","siv","fix_time","year"
"1","eui-70b3d57ed005bd07","2023-05-04T19:05:39.933808323Z","4","175","1.75","0","19",46.8335,8.18287,"5","5","3","7","1","23"
"2","eui-70b3d57ed005bd07","2023-05-04T19:05:23.347164278Z","4","175","1.75","0","19",46.8335,8.18287,"5","5","3","7","275","23"
"3","eui-70b3d57ed005bd07","2023-05-04T19:00:06.765970658Z","4","177","1.77","0","18",46.8336,8.18303,"59","5","11","7","275","23"
"4","eui-70b3d57ed005bd07","2023-05-04T18:54:50.192716533Z","4","236","2.36","0","18",46.83348,8.18295,"54","5","9","5","275","23"
"5","eui-70b3d57ed005bd07","2023-05-04T18:49:33.624029538Z","4","203","2.03","0","18",46.83358,8.18286,"49","5","5","6","275","23"
"6","eui-70b3d57ed005bd07","2023-05-04T18:44:43.061364290Z","4","233","2.33","0","18",46.83342,8.18283,"44","5","8","5","45","23"
"7","eui-70b3d57ed005bd07","2023-05-04T18:43:42.489477356Z","4","233","2.33","0","18",46.83339,8.18293,"43","5","7","4","29","23"
"8","eui-70b3d57ed005bd07","2023-05-04T18:42:57.905122854Z","4","226","2.26","0","18",46.83358,8.18296,"42","5","5","5","1","23"
"9","eui-70b3d57ed005bd07","2023-05-04T18:42:41.316049684Z","4","226","2.26","0","18",46.83358,8.18296,"42","5","5","5","50","23"
"10","eui-70b3d57ed005bd07","2023-05-04T18:37:24.772931197Z","4","187","1.87","0","18",46.83344,8.18289,"37","5","4","6","50","23"
"11","eui-70b3d57ed005bd07","2023-05-04T18:32:08.184628651Z","4","183","1.83","0","18",46.83343,8.18289,"32","5","0","6","50","23"
"12","eui-70b3d57ed005bd07","2023-05-04T18:26:51.598819918Z","4","176","1.76","0","18",46.8336,8.18312,"26","5","10","6","50","23"
"13","eui-70b3d57ed005bd07","2023-05-04T18:25:46.022316607Z","4","184","1.84","0","18",46.8336,8.18288,"25","5","8","5","32","23"
"14","eui-70b3d57ed005bd07","2023-05-04T18:24:58.444790537Z","4","189","1.89","0","18",46.83356,8.18307,"24","5","9","4","65","23"
"15","eui-70b3d57ed005bd07","2023-05-04T18:23:37.890648519Z","4","185","1.85","0","18",46.83351,8.18287,"23","5","3","6","1","23"
"16","eui-70b3d57ed005bd07","2023-05-04T18:23:21.301119382Z","4","185","1.85","0","18",46.83351,8.18287,"23","5","3","6","297","23"
"17","eui-70b3d57ed005bd07","2023-05-04T18:18:04.722717135Z","4","162","1.62","0","18",46.8335,8.18288,"17","5","11","7","297","23"
"18","eui-70b3d57ed005bd07","2023-05-04T18:12:48.139523789Z","4","155","1.55","0","18",46.83349,8.18292,"12","5","9","7","297","23"
"19","eui-70b3d57ed005bd07","2023-05-04T18:07:35.572210238Z","4","176","1.76","0","18",46.83361,8.18296,"7","5","5","5","46","23"
"20","eui-70b3d57ed005bd07","2023-05-04T18:02:19.000023132Z","4","172","1.72","0","18",46.83354,8.18294,"2","5","3","5","46","23"
"21","eui-70b3d57ed005bd07","2023-05-04T18:01:17.409964283Z","4","187","1.87","0","18",46.83355,8.18301,"1","5","2","4","22","23"
"22","eui-70b3d57ed005bd07","2023-05-04T18:00:39.853918675Z","4","170","1.7","0","18",46.83357,8.183,"0","5","3","5","1","23"
"23","eui-70b3d57ed005bd07","2023-05-04T18:00:23.273242988Z","4","170","1.7","0","18",46.83357,8.183,"0","5","3","5","109","23"
"24","eui-70b3d57ed005bd07","2023-05-04T17:55:06.691337317Z","4","166","1.66","0","17",46.83347,8.18282,"55","5","0","5","109","23"
"25","eui-70b3d57ed005bd07","2023-05-04T17:49:50.107633075Z","4","141","1.41","0","17",46.83343,8.18272,"49","5","8","7","109","23"
"26","eui-70b3d57ed005bd07","2023-05-04T17:47:45.530724735Z","4","197","1.97","0","17",46.83367,8.18278,"47","5","8","5","143","23"
"27","eui-70b3d57ed005bd07","2023-05-04T17:42:28.956703592Z","4","154","1.54","0","17",46.83358,8.18298,"42","5","5","5","143","23"
"28","eui-70b3d57ed005bd07","2023-05-04T17:39:50.382061687Z","4","173","1.73","0","17",46.8335,8.18274,"39","5","8","5","49","23"
"29","eui-70b3d57ed005bd07","2023-05-04T17:38:45.812394205Z","4","121","1.21","0","17",46.8333,8.18286,"38","5","4","6","1","23"
"30","eui-70b3d57ed005bd07","2023-05-04T17:38:29.235266054Z","4","121","1.21","0","17",46.8333,8.18286,"38","5","4","6","243","23"
"31","eui-70b3d57ed005bd07","2023-05-04T17:33:12.679906298Z","4","97","0.97","0","17",46.83356,8.18292,"33","5","2","8","243","23"
"32","eui-70b3d57ed005bd07","2023-05-04T17:28:54.090815428Z","4","102","1.02","0","17",46.83346,8.1829,"28","5","10","7","122","23"
"33","eui-70b3d57ed005bd07","2023-05-04T17:26:36.513316190Z","4","152","1.52","0","17",46.83378,8.1829,"26","5","7","6","65","23"
"34","eui-70b3d57ed005bd07","2023-05-04T17:25:15.966259649Z","4","183","1.83","0","17",46.8334,8.18286,"25","5","1","5","51","23"
"35","eui-70b3d57ed005bd07","2023-05-04T17:24:09.377361639Z","4","204","2.04","0","17",46.8337,8.18277,"24","5","0","4","47","23"
"36","eui-70b3d57ed005bd07","2023-05-04T17:23:06.785475916Z","4","120","1.2","0","17",46.83354,8.18285,"22","5","9","7","1","23"
"37","eui-70b3d57ed005bd07","2023-05-04T17:22:50.221859405Z","4","120","1.2","0","17",46.83354,8.18285,"22","5","9","7","136","23"
"38","eui-70b3d57ed005bd07","2023-05-04T17:17:33.641441016Z","4","121","1.21","0","17",46.83359,8.18303,"17","5","5","7","136","23"
"39","eui-70b3d57ed005bd07","2023-05-04T17:12:17.068815336Z","4","137","1.37","0","17",46.83345,8.18301,"12","5","3","7","136","23"
"40","eui-70b3d57ed005bd07","2023-05-04T17:09:45.495213703Z","4","137","1.37","0","17",46.83368,8.18329,"9","5","8","7","74","23"
"41","eui-70b3d57ed005bd07","2023-05-04T17:08:15.911670335Z","4","145","1.45","0","17",46.83346,8.18282,"8","5","2","5","46","23"
"42","eui-70b3d57ed005bd07","2023-05-04T17:07:14.345015739Z","4","191","1.91","0","17",46.8337,8.18338,"7","5","1","5","51","23"
"43","eui-70b3d57ed005bd07","2023-05-04T17:06:07.793201486Z","4","124","1.24","0","17",46.83351,8.18291,"5","5","9","5","1","23"
"44","eui-70b3d57ed005bd07","2023-05-04T17:05:51.186628717Z","4","124","1.24","0","17",46.83351,8.18291,"5","5","9","5","100","23"
"45","eui-70b3d57ed005bd07","2023-05-04T17:00:34.611773790Z","4","160","1.6","0","17",46.8336,8.18307,"0","5","6","6","100","23"
"46","eui-70b3d57ed005bd07","2023-05-04T16:55:18.025356687Z","4","158","1.58","0","16",46.83352,8.18286,"55","5","3","5","100","23"
"47","eui-70b3d57ed005bd07","2023-05-04T16:50:01.495229121Z","4","154","1.54","0","16",46.8335,8.18286,"49","5","10","5","100","23"
"48","eui-70b3d57ed005bd07","2023-05-04T16:44:44.879930456Z","4","144","1.44","0","16",46.83364,8.18327,"44","5","8","5","100","23"
"49","eui-70b3d57ed005bd07","2023-05-04T16:42:49.314189981Z","4","109","1.09","0","16",46.83346,8.18306,"42","5","8","0","1","23"
"50","eui-70b3d57ed005bd07","2023-05-04T16:37:32.748030688Z","4","109","1.09","0","16",46.83346,8.18306,"37","5","1","8","1","23"
"51","eui-70b3d57ed005bd07","2023-05-04T16:37:16.167278064Z","4","109","1.09","0","16",46.83346,8.18306,"37","5","1","8","142","23"
"52","eui-70b3d57ed005bd07","2023-05-04T16:31:59.587324771Z","4","113","1.13","0","16",46.83354,8.18297,"31","5","10","7","142","23"
"53","eui-70b3d57ed005bd07","2023-05-04T16:26:43.013420945Z","4","120","1.2","0","16",46.83352,8.18282,"26","5","8","7","142","23"
"54","eui-70b3d57ed005bd07","2023-05-04T16:24:05.475350620Z","4","124","1.24","0","16",46.83352,8.18286,"24","5","0","6","142","23"
"55","eui-70b3d57ed005bd07","2023-05-04T16:21:27.853785532Z","4","129","1.29","0","16",46.83352,8.18284,"21","5","5","5","61","23"
"56","eui-70b3d57ed005bd07","2023-05-04T16:20:11.296119767Z","4","170","1.7","0","16",46.83333,8.18287,"20","5","0","5","69","23"
"57","eui-70b3d57ed005bd07","2023-05-04T16:18:46.705228867Z","4","155","1.55","0","16",46.83356,8.18297,"18","5","4","6","1","23"
"58","eui-70b3d57ed005bd07","2023-05-04T16:18:30.133175371Z","4","155","1.55","0","16",46.83356,8.18297,"18","5","4","6","136","23"
"59","eui-70b3d57ed005bd07","2023-05-04T16:13:13.562444517Z","4","113","1.13","0","16",46.83345,8.18279,"13","5","2","8","136","23"
"60","eui-70b3d57ed005bd07","2023-05-04T16:10:42.009083491Z","4","157","1.57","0","16",46.83368,8.18321,"10","5","8","7","100","23"
"61","eui-70b3d57ed005bd07","2023-05-04T16:08:46.411995369Z","4","187","1.87","0","16",46.83367,8.18293,"8","5","8","6","42","23"
